# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: bne.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00020297   0000024a   ---        --------
              23   N   0000024a   00000297   0000024a   ---        --------
              24   N   0000024a   30008293   0000024e   x05_t0     0000024a
              26   N   0000024e   00009073   00000252   x05_t0     000002a0
              28   N   00000252   05622573   00000256   ---        --------
              30   N   00000256   34120073   0000025a   x10_a0     00000000
              33   N   0000025a   00000000   000002a0   ---        --------
              36   N   000002a0   00004081   000002a2   x28_t3     00000002
              37   N   000002a2   00004105   000002a4   x01_ra     00000000
              38   N   000002a4   00209663   000002a6   x02_sp     00000001
              39   N   000002a6   41051763   000002b2   ---        --------
              43   N   000002b2   96631163   000002ae   ---        --------
              47   N   000002ae   96639ee3   000002ba   ---        --------
              50   N   000002ba   00004085   000002bc   x28_t3     00000003
              51   N   000002bc   00004101   000002be   x01_ra     00000001
              52   N   000002be   00209663   000002c0   x02_sp     00000000
              53   N   000002c0   1bc01a63   000002cc   ---        --------
              56   N   000002cc   1bc01463   000002c8   ---        --------
              59   N   000002c8   fe209ee3   000002d4   ---        --------
              62   N   000002d4   000050fd   000002d6   x28_t3     00000004
              63   N   000002d6   00004105   000002d8   x01_ra     ffffffff
              64   N   000002d8   00209663   000002da   x02_sp     00000001
              65   N   000002da   41051d63   000002e6   ---        --------
              69   N   000002e6   96631763   000002e2   ---        --------
              73   N   000002e2   96639ee3   000002ee   ---        --------
              76   N   000002ee   00004085   000002f0   x28_t3     00000005
              77   N   000002f0   0000517d   000002f2   x01_ra     00000001
              78   N   000002f2   00209663   000002f4   x02_sp     ffffffff
              79   N   000002f4   19c01063   00000300   ---        --------
              82   N   00000300   17c01a63   000002fc   ---        --------
              85   N   000002fc   fe209ee3   00000308   ---        --------
              88   N   00000308   00004081   0000030a   x28_t3     00000006
              89   N   0000030a   00004101   0000030c   x01_ra     00000000
              90   N   0000030c   00209463   0000030e   x02_sp     00000000
              91   N   0000030e   41011463   00000312   ---        --------
              93   N   00000312   00201163   0000031a   ---        --------
              97   N   0000031a   00004e1d   0000031e   ---        --------
              98   N   0000031e   00004085   00000320   x28_t3     00000007
              99   N   00000320   00004105   00000322   x01_ra     00000001
             100   N   00000322   00209463   00000324   x02_sp     00000001
             101   N   00000324   01c01463   00000328   ---        --------
             102   N   00000328   15c01663   00000330   ---        --------
             105   N   00000330   00004e21   00000334   ---        --------
             106   N   00000334   000050fd   00000336   x28_t3     00000008
             107   N   00000336   0000517d   00000338   x01_ra     ffffffff
             108   N   00000338   00209463   0000033a   x02_sp     ffffffff
             109   N   0000033a   517d1463   0000033e   ---        --------
             111   N   0000033e   00201b63   00000346   ---        --------
             115   N   00000346   00004e25   0000034a   ---        --------
             116   N   0000034a   00004201   0000034c   x28_t3     00000009
             117   N   0000034c   00004081   0000034e   x04_tp     00000000
             118   N   0000034e   00004101   00000350   x01_ra     00000000
             119   N   00000350   12209363   00000352   x02_sp     00000000
             120   N   00000352   00000205   00000356   ---        --------
             121   N   00000356   00004289   00000358   x04_tp     00000001
             122   N   00000358   fe521ae3   0000035a   x05_t0     00000002
             123   N   0000035a   00004e29   0000034e   ---        --------
             126   N   0000034e   00004101   00000350   x01_ra     00000000
             127   N   00000350   12209363   00000352   x02_sp     00000000
             128   N   00000352   00000205   00000356   ---        --------
             129   N   00000356   00004289   00000358   x04_tp     00000002
             130   N   00000358   fe521ae3   0000035a   x05_t0     00000002
             131   N   0000035a   00004e29   0000035e   ---        --------
             132   N   0000035e   00004201   00000360   x28_t3     0000000a
             133   N   00000360   00004081   00000362   x04_tp     00000000
             134   N   00000362   00004101   00000364   x01_ra     00000000
             135   N   00000364   00000001   00000366   x02_sp     00000000
             136   N   00000366   10209863   00000368   ---        --------
             137   N   00000368   00000205   0000036c   ---        --------
             138   N   0000036c   00004289   0000036e   x04_tp     00000001
             139   N   0000036e   fe5219e3   00000370   x05_t0     00000002
             140   N   00000370   00004e2d   00000362   ---        --------
             143   N   00000362   00004101   00000364   x01_ra     00000000
             144   N   00000364   00000001   00000366   x02_sp     00000000
             145   N   00000366   10209863   00000368   ---        --------
