# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000600   ---        --------
               6   N   00000600   0000e101   00000604   x10_a0     00000000
               7   N   00000604   00004e01   00000606   ---        --------
               8   N   00000606   00000297   00000608   x28_t3     00000000
               9   N   00000608   cf828293   0000060c   x05_t0     00000608
              10   N   0000060c   30529073   00000610   x05_t0     00000300
              11   N   00000610   00004505   00000614   ---        --------
              12   N   00000614   0000057e   00000616   x10_a0     00000001
              13   N   00000616   00054863   00000618   x10_a0     80000000
              14   N   00000618   0ff0000f   00000628   ---        --------
              17   N   00000628   00028f63   0000062c   x05_t0     00000000
              18   N   0000062c   10529073   0000064a   ---        --------
              22   N   0000064a   00006509   0000064e   ---        --------
              23   N   0000064e   00006509   0000064e   ---        --------
              24   N   0000064e   80050513   00000650   x10_a0     00002000
              25   N   00000650   30052073   00000654   x10_a0     00001800
              26   N   00000654   00000297   00000658   ---        --------
              27   N   00000658   00000297   00000658   ---        --------
              28   N   00000658   6bb28293   0000065c   x05_t0     00000658
              29   N   0000065c   34129073   00000660   x05_t0     00000d13
              30   N   00000660   f1402573   00000664   ---        --------
              31   N   00000664   30200073   00000668   x10_a0     00000000
              33   N   00000668   00000000   00000d12   ---        --------
              36   N   00000d12   00200e13   00000d14   x08_s0     00000080
              37   N   00000d14   00000000   00000d18   x28_t3     00000002
              38   E   00000d18   00000000   00000300   mstatus    00001800
              38   E   00000d18   00000000   00000300   mepc       00000d18
              38   E   00000d18   00000000   00000300   mcause     00000002
              38   E   00000d18   00000000   00000300   mtval      00000000
              41   N   00000300   000047a1   00000304   x14_a4     00000002
              42   N   00000304   04f70263   00000306   x15_a5     00000008
              43   N   00000306   000047a5   0000030a   ---        --------
              44   N   0000030a   02f70f63   0000030c   x15_a5     00000009
              45   N   0000030c   000047ad   00000310   ---        --------
              46   N   00000310   02f70c63   00000312   x15_a5     0000000b
              47   N   00000312   47ad0837   00000316   ---        --------
              49   N   00000316   02f71897   0000031a   x16_a6     f0000000
              51   N   0000031a   f0008893   0000031e   x17_a7     0000131a
              53   N   0000031e   00008783   00000322   x17_a7     00000d00
              56   N   00000322   0000c791   00000326   x15_a5     00000069
              57   N   00000326   00f82023   00000328   ---        --------
              59   N   00000328   00000885   0000032c   ---        --------
              60   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d01
              61   N   0000032e   08851717   00000322   ---        --------
              66   N   00000322   0000c791   00000326   x15_a5     0000006e
              67   N   00000326   00f82023   00000328   ---        --------
              69   N   00000328   00000885   0000032c   ---        --------
              70   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d02
              71   N   0000032e   08851717   00000322   ---        --------
              76   N   00000322   0000c791   00000326   x15_a5     00000073
              77   N   00000326   00f82023   00000328   ---        --------
              79   N   00000328   00000885   0000032c   ---        --------
              80   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d03
              81   N   0000032e   08851717   00000322   ---        --------
              86   N   00000322   0000c791   00000326   x15_a5     00000074
              87   N   00000326   00f82023   00000328   ---        --------
              89   N   00000328   00000885   0000032c   ---        --------
              90   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d04
              91   N   0000032e   08851717   00000322   ---        --------
              96   N   00000322   0000c791   00000326   x15_a5     00000072
              97   N   00000326   00f82023   00000328   ---        --------
              99   N   00000328   00000885   0000032c   ---        --------
             100   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d05
             101   N   0000032e   08851717   00000322   ---        --------
             106   N   00000322   0000c791   00000326   x15_a5     00000075
             107   N   00000326   00f82023   00000328   ---        --------
             109   N   00000328   00000885   0000032c   ---        --------
             110   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d06
             111   N   0000032e   08851717   00000322   ---        --------
             116   N   00000322   0000c791   00000326   x15_a5     00000063
             117   N   00000326   00f82023   00000328   ---        --------
             119   N   00000328   00000885   0000032c   ---        --------
             120   N   0000032c   ff5ff06f   0000032e   x17_a7     00000d07
             121   N   0000032e   08851717   00000322   ---        --------
             126   N   00000322   0000c791   00000326   x15_a5     00000074
